#item,x,y,dx,dy,label
0,5.88235294118,1.17647058824,33.3404758096,30.9353227522,1
1,17.0588235294,74.1176470588,40.3419757297,34.0288550274,1
2,25.8823529412,102.941176471,32.677000341,30.3197098294,1
3,189.411764706,29.4117647059,35.9447003751,33.3516808124,1
4,316.470588235,174.117647059,26.2036865735,24.3133753122,1
5,356.470588235,178.823529412,28.8240552308,26.7447128435,1
6,42.3529411765,366.470588235,38.3648175122,32.3611025406,1
7,77.0588235294,387.647058824,34.528335761,39.1569340741,1
8,95.8823529412,418.823529412,31.0755021849,39.1569340741,1
9,402.352941176,400.588235294,22.4275006819,28.2599508906,1
10,414.117647059,432.941176471,22.4275006819,25.4339558016,1
11,53.5294117647,468.823529412,27.1372758251,27.9773513817,1
