#item,x,y,dx,dy,label
0,132.631578947,147.894736842,35.3346780423,46.3034219117,1
1,154.736842105,293.684210526,42.7549604312,46.3034219117,1
2,175.263157895,94.2105263158,34.6315179492,46.3034219117,1
3,250.526315789,120.526315789,38.0946697442,46.3034219117,1
4,275.789473684,8.94736842105,38.0946697442,41.6730797205,1
5,345.263157895,121.052631579,41.9041367186,41.6730797205,1
6,370.0,152.105263158,37.7137230467,41.6730797205,1
7,377.894736842,123.684210526,33.9423507421,33.7551945736,1
8,401.052631579,128.947368421,44.7254961493,49.4209803753,1
9,2.63157894737,92.6315789474,32.6048866928,49.4209803753,1
