#item,x,y,dx,dy,label
0,60.4761904762,363.80952381,38.9542511438,43.1756224158,1
1,159.523809524,327.619047619,38.9542511438,43.1756224158,1
2,180.0,187.619047619,38.9542511438,34.9722541568,1
3,342.857142857,285.714285714,38.9542511438,51.202877311,1
4,362.857142857,289.523809524,47.134643884,51.202877311,1
5,225.238095238,407.619047619,20.2899186471,27.211308321,1
6,239.047619048,416.666666667,22.3189105118,27.211308321,1
7,206.19047619,440.0,27.0058817193,29.6331147616,1
8,291.904761905,325.238095238,34.6849201695,35.1189237244,1
9,423.80952381,424.285714286,25.2853068035,28.4463282167,1
10,412.857142857,410.476190476,25.2853068035,28.4463282167,1
