#item,x,y,dx,dy,label
0,173.684210526,39.4736842105,46.186638768,53.8364418556,1
1,6.31578947368,26.8421052632,46.186638768,48.45279767,1
2,59.4736842105,226.315789474,46.186638768,53.298077437,1
3,13.1578947368,245.263157895,41.5679748912,52.7650966627,1
4,167.894736842,271.052631579,45.7247723803,47.0137011264,1
5,186.315789474,178.947368421,60.8596720382,62.5752361993,1
6,202.631578947,83.1578947368,49.296334351,50.1790819082,1
7,294.210526316,134.210526316,48.8033710075,55.196990099,1
8,432.105263158,448.947368421,64.9572868109,55.196990099,1
9,58.4210526316,451.052631579,47.3538620852,44.7095619802,1
10,30.5263157895,210.0,47.3538620852,44.7095619802,1
