#item,x,y,dx,dy,label
0,64.6666666667,128.666666667,26.019432326,27.6367296141,1
1,87.3333333333,134.666666667,26.019432326,27.6367296141,1
2,88.6666666667,175.333333333,28.6213755586,30.4004025755,1
3,196.666666667,244.0,28.6213755586,30.4004025755,1
4,176.0,274.0,28.6213755586,30.4004025755,1
5,198.666666667,313.333333333,31.4835131145,33.440442833,1
6,172.666666667,327.333333333,31.4835131145,33.440442833,1
7,214.666666667,424.666666667,30.8569912035,32.7749780207,1
8,326.0,470.666666667,24.9941628748,26.5477321967,1
9,324.0,184.0,27.2186433707,28.9104803623,1
10,375.333333333,73.3333333333,29.9405077078,31.8015283985,1
11,437.894736842,162.631578947,23.9614226447,26.3575649092,1
