#item,x,y,dx,dy,label
0,204.761904762,190.952380952,33.0011434941,39.434451996,1
1,74.2857142857,85.2380952381,21.6520502464,25.8729439546,1
2,213.80952381,67.1428571429,26.1989807982,31.3062621851,1
3,235.238095238,78.0952380952,26.1989807982,31.3062621851,1
4,291.428571429,40.0,56.1598420724,61.0070484571,1
5,389.523809524,54.2857142857,36.8464723837,44.4741383252,1
6,433.333333333,68.5714285714,36.8464723837,44.4741383252,1
7,453.80952381,49.0476190476,33.1618251453,40.0267244927,1
8,21.9047619048,37.619047619,24.174970531,23.6353805457,1
9,158.75,0.0,49.3467748061,43.5282965887,1
10,143.75,17.5,49.3467748061,52.6692388723,1
