#item,x,y,dx,dy,label
0,405.625,19.375,30.2216747314,36.273824896,1
1,450.0,14.375,29.919457984,29.3817981657,1
2,432.5,62.5,26.9275121856,29.0879801841,1
3,321.875,181.25,32.5822897446,31.6768104205,1
4,376.25,370.0,26.1277381462,28.5091293784,1
5,400.0,363.125,28.7405119608,34.4960465479,1
6,377.5,353.75,28.7405119608,34.4960465479,1
7,270.0,322.5,25.8664607647,31.0464418931,1
8,266.25,353.125,23.2798146883,31.0464418931,1
9,352.5,8.75,29.2186321458,30.9923483947,1
10,340.0,355.625,28.9264458243,34.0915832341,1
