#item,x,y,dx,dy,label
0,408.461538462,26.1538461538,28.8099672796,39.3283566999,1
1,398.461538462,55.3846153846,34.8600604083,39.3283566999,1
2,367.692307692,40.7692307692,33.1515705872,34.6911501614,1
3,262.307692308,11.5384615385,29.8364135284,34.6911501614,1
4,185.384615385,85.3846153846,32.8200548813,34.6911501614,1
5,110.0,90.0,23.6865618084,28.0998316308,1
6,268.461538462,260.769230769,31.2115456293,34.0007962732,1
7,433.076923077,349.230769231,33.9893731903,41.1409634906,1
8,228.461538462,392.307692308,33.9893731903,41.1409634906,1
9,188.461538462,417.692307692,33.9893731903,41.1409634906,1
10,120.769230769,327.692307692,27.5313922841,33.3241804274,1
11,126.923076923,442.307692308,24.7782530557,29.9917623846,1
12,141.538461538,467.692307692,24.7782530557,29.9917623846,1
13,305.384615385,483.076923077,24.7782530557,29.9917623846,1
14,367.222222222,472.222222222,24.1918696432,26.3449460414,1
