#item,x,y,dx,dy,label
0,254.736842105,87.3684210526,22.333835174,30.4570996914,1
1,228.947368421,184.210526316,22.333835174,30.4570996914,1
2,185.263157895,234.736842105,20.1004516566,27.4113897223,1
3,171.052631579,194.210526316,20.1004516566,27.4113897223,1
4,212.105263158,258.421052632,29.4290712704,36.1197141231,1
5,226.315789474,391.052631579,29.4290712704,36.1197141231,1
6,215.263157895,470.526315789,29.4290712704,29.2569684397,1
7,141.052631579,469.473684211,21.4537929561,29.2569684397,1
8,126.842105263,462.105263158,21.4537929561,29.2569684397,1
9,358.421052632,411.578947368,21.4537929561,29.2569684397,1
10,408.947368421,378.421052632,31.4104982671,38.9410249933,1
11,466.842105263,335.263157895,31.4104982671,38.9410249933,1
