#item,x,y,dx,dy,label
0,54.7619047619,42.8571428571,28.4784422986,30.1637538043,1
1,56.6666666667,206.666666667,28.1936578756,33.1801291847,1
2,113.333333333,268.571428571,45.4061679453,48.093236868,1
3,164.285714286,331.904761905,45.4061679453,48.093236868,1
4,209.523809524,331.904761905,45.4061679453,52.3735349492,1
5,167.142857143,377.619047619,40.8655511508,47.1361814543,1
6,186.19047619,391.904761905,40.8655511508,47.1361814543,1
7,64.2857142857,411.428571429,59.8312534398,57.0347795597,1
8,385.0,232.5,34.3888492719,41.610507619,1
9,156.875,1.25,41.610507619,27.3006540489,1
