#item,x,y,dx,dy,label
0,6.19047619048,307.619047619,50.4220538589,53.7381677243,1
1,173.80952381,289.047619048,36.7576772632,39.175124271,1
2,232.380952381,201.904761905,29.7737185832,31.7318506595,1
3,122.857142857,38.0952380952,39.6288194342,31.7318506595,1
4,270.952380952,330.0,43.5917013776,42.2350932279,1
5,266.666666667,348.095238095,38.8402059274,42.2350932279,1
6,308.571428571,330.952380952,38.8402059274,42.2350932279,1
7,353.80952381,256.666666667,38.8402059274,42.2350932279,1
8,383.333333333,212.857142857,38.8402059274,42.2350932279,1
9,430.952380952,166.19047619,38.8402059274,42.2350932279,1
10,460.0,178.571428571,38.8402059274,42.2350932279,1
