#item,x,y,dx,dy,label
0,73.8095238095,42.380952381,28.9379874933,29.1875191991,1
1,264.285714286,45.2380952381,28.9379874933,29.1875191991,1
2,294.285714286,50.9523809524,31.8317862426,32.106271119,1
3,71.4285714286,267.619047619,31.8317862426,32.106271119,1
4,104.285714286,274.285714286,25.7837468565,26.0060796064,1
5,207.142857143,408.571428571,34.318167066,34.6140919561,1
6,329.523809524,327.142857143,33.298883186,33.5860188109,1
7,314.285714286,320.0,44.3208135205,44.7029910373,1
8,320.476190476,261.428571429,44.3208135205,44.7029910373,1
9,375.238095238,268.095238095,44.3208135205,44.7029910373,1
10,443.80952381,257.142857143,39.8887321685,49.173290141,1
