#item,x,y,dx,dy,label
0,170.0,343.157894737,31.0688689141,36.214745204,1
1,143.684210526,294.210526316,34.1757558055,32.5932706836,1
2,85.2631578947,293.157894737,30.7581802249,29.3339436152,1
3,61.5789473684,295.789473684,24.9141259822,29.0406041791,1
4,48.9473684211,294.736842105,27.4055385804,31.944664597,1
5,105.263157895,363.157894737,27.4055385804,31.944664597,1
6,43.1578947368,443.157894737,24.6649847224,28.7501981373,1
7,58.4210526316,407.368421053,19.9786376251,23.2876604912,1
8,41.5789473684,410.0,23.9324100111,30.6859173526,1
9,276.842105263,231.052631579,23.9324100111,30.6859173526,1
10,387.894736842,231.578947368,31.8540377248,44.927251596,1
11,437.368421053,187.368421053,41.9737469696,44.927251596,1
12,448.947368421,288.947368421,27.5389753868,32.4244467493,1
13,355.263157895,107.894736842,33.322160218,32.4244467493,1
