#item,x,y,dx,dy,label
0,319.333333333,128.0,55.3286516981,58.7677305074,1
1,364.0,306.0,55.3286516981,58.7677305074,1
2,156.0,206.0,32.0208623319,34.0111922193,1
3,156.0,147.333333333,31.3836471715,33.3343694941,1
4,137.333333333,137.333333333,25.4207542089,27.0008392902,1
5,111.333333333,118.0,25.4207542089,27.0008392902,1
6,86.0,89.3333333333,25.4207542089,27.0008392902,1
7,99.3333333333,69.3333333333,25.4207542089,27.0008392902,1
8,320.0,44.0,33.8350238521,35.9381170953,1
9,348.421052632,305.789473684,28.1416453736,34.051390902,1
10,306.842105263,326.315789474,28.1416453736,34.051390902,1
