#item,x,y,dx,dy,label
0,295.882352941,54.7058823529,26.4813131965,31.658073912,1
1,369.411764706,88.2352941176,32.0423889678,38.3062694335,1
2,113.529411765,136.470588235,21.0230114018,25.1327433753,1
3,63.5294117647,387.647058824,37.243547102,36.0645922692,1
4,365.882352941,351.176470588,31.5576542608,36.6062522904,1
5,462.941176471,308.823529412,34.7134196869,48.7229217986,1
6,436.470588235,281.176470588,37.0506360496,42.1227398477,1
7,321.764705882,241.176470588,25.6861591585,29.2025054164,1
8,234.117647059,411.764705882,25.6861591585,35.3350315539,1
9,161.111111111,447.777777778,36.693569329,45.3007028753,1
