#item,x,y,dx,dy,label
0,24.1176470588,34.1176470588,30.1626622981,37.2503695154,1
1,28.2352941176,70.0,40.1465035188,37.2503695154,1
2,35.8823529412,140.588235294,36.1318531669,45.0729471136,1
3,81.7647058824,120.588235294,32.5186678502,32.8581784458,1
4,43.5294117647,169.411764706,39.3475880988,43.7342355114,1
5,22.9411764706,184.705882353,31.87154636,43.7342355114,1
6,0.0,188.235294118,28.684391724,43.7342355114,1
7,16.4705882353,238.235294118,38.1789253847,43.7342355114,1
8,88.8235294118,271.176470588,30.9249295616,31.8822576878,1
9,109.411764706,328.823529412,30.9249295616,35.0704834566,1
10,4.11764705882,279.411764706,30.9249295616,35.0704834566,1
11,15.8823529412,288.823529412,27.8324366054,31.5634351109,1
12,19.4117647059,341.176470588,27.8324366054,31.5634351109,1
13,460.588235294,255.882352941,30.3095234633,38.1917564842,1
