#item,x,y,dx,dy,label
0,72.6315789474,155.789473684,30.7174901405,29.6408060844,1
1,154.210526316,174.736842105,27.6457411265,26.676725476,1
2,275.789473684,87.3684210526,27.6457411265,32.2788378259,1
3,440.0,17.8947368421,24.8811670138,29.0509540433,1
4,458.947368421,16.8421052632,24.8811670138,29.0509540433,1
5,398.947368421,264.210526316,30.1062120867,35.1516543924,1
6,423.684210526,245.263157895,24.1421714724,28.1881116573,1
7,318.947368421,405.789473684,23.9007497576,30.6968535948,1
8,135.789473684,371.052631579,26.2908247334,30.6968535948,1
9,103.684210526,227.368421053,21.295568034,24.8644514118,1
10,73.1578947368,118.947368421,23.4251248375,27.3508965529,1
