#item,x,y,dx,dy,label
0,0.0,338.421052632,15.4468858333,36.2342881988,1
1,130.0,321.578947368,27.3651005137,32.610859379,1
2,141.052631579,297.894736842,27.3651005137,32.610859379,1
3,239.473684211,388.421052632,27.3651005137,35.8719453168,1
4,406.315789474,355.789473684,27.3651005137,35.8719453168,1
5,454.736842105,226.842105263,27.3651005137,35.8719453168,1
6,372.631578947,59.4736842105,27.3651005137,35.8719453168,1
7,340.0,14.2105263158,27.3651005137,32.2847507852,1
8,233.157894737,73.1578947368,22.1657314161,26.150648136,1
9,253.684210526,250.0,26.8205350135,31.6422842445,1
