#item,x,y,dx,dy,label
0,54.2857142857,291.904761905,33.9988562985,39.0651687572,1
1,140.0,265.714285714,33.9988562985,39.0651687572,1
2,200.0,204.285714286,37.3987419283,42.9716856329,1
3,214.761904762,402.857142857,37.3987419283,42.9716856329,1
4,182.380952381,429.523809524,30.292980962,42.9716856329,1
5,131.904761905,455.238095238,30.292980962,37.9048941799,1
6,419.523809524,446.19047619,36.654506964,45.8649219577,1
7,444.285714286,153.80952381,40.3199576604,45.8649219577,1
8,461.428571429,79.0476190476,36.2879618943,45.8649219577,1
9,469.523809524,176.666666667,29.3932491344,45.8649219577,1
