#item,x,y,dx,dy,label
0,25.3846153846,10.3846153846,34.0,28.0,1
1,111.538461538,88.4615384615,22.0,22.0,1
2,56.5384615385,157.307692308,24.0,34.0,1
3,1.15384615385,217.692307692,20.0,34.0,1
4,148.461538462,198.461538462,34.0,38.0,1
5,178.461538462,143.461538462,22.0,34.0,1
6,258.076923077,109.230769231,24.0,32.0,1
7,277.307692308,98.0769230769,22.0,32.0,1
8,257.692307692,140.384615385,42.0,28.0,1
9,252.692307692,167.692307692,30.0,28.0,1
10,0.384615384615,169.615384615,30.0,24.0,1
11,80.7692307692,75.3846153846,24.0,28.0,1
12,271.538461538,8.46153846154,24.0,24.0,1
