#item,x,y,dx,dy,label
0,2.84217094304e-14,206.842105263,26.0,28.0,1
1,12.1052631579,189.473684211,26.0,28.0,1
2,29.4736842105,174.210526316,22.0,24.0,1
3,57.3684210526,222.631578947,30.0,24.0,1
4,74.7368421053,204.210526316,30.0,28.0,1
5,119.473684211,191.052631579,26.0,24.0,1
6,155.789473684,74.7368421053,24.0,24.0,1
7,205.789473684,204.736842105,28.0,28.0,1
8,258.947368421,205.263157895,28.0,28.0,1
9,233.157894737,202.105263158,28.0,28.0,1
10,211.578947368,111.578947368,24.0,24.0,1
11,188.421052632,23.6842105263,24.0,24.0,1
