#item,x,y,dx,dy,label
0,61.0526315789,236.315789474,22.0,30.0,1
1,43.1578947368,250.526315789,26.0,20.0,1
2,37.3684210526,267.368421053,26.0,26.0,1
3,62.6315789474,269.473684211,24.0,22.0,1
4,2.10526315789,252.631578947,30.0,24.0,1
5,188.947368421,266.842105263,28.0,20.0,1
6,167.894736842,266.315789474,24.0,22.0,1
7,147.368421053,260.526315789,20.0,18.0,1
8,255.789473684,260.526315789,38.0,24.0,1
9,196.842105263,191.578947368,30.0,22.0,1
10,170.526315789,186.315789474,18.0,24.0,1
11,108.947368421,41.0526315789,32.0,24.0,1
12,83.6842105263,32.1052631579,26.0,28.0,1
13,44.2105263158,53.6842105263,36.0,24.0,1
14,75.2631578947,120.526315789,24.0,34.0,1
