#item,x,y,dx,dy,label
0,206.315789474,226.315789474,30.0,36.0,1
1,253.157894737,118.947368421,34.0,36.0,1
2,117.894736842,56.3157894737,34.0,40.0,1
3,112.631578947,88.4210526316,34.0,34.0,1
4,105.789473684,145.789473684,34.0,34.0,1
5,82.6315789474,153.157894737,30.0,30.0,1
6,45.2631578947,172.105263158,32.0,32.0,1
7,149.473684211,77.3684210526,24.0,24.0,1
8,168.947368421,41.5789473684,34.0,30.0,1
9,147.894736842,26.8421052632,34.0,24.0,1
10,213.684210526,264.210526316,34.0,24.0,1
11,33.1578947368,249.473684211,40.0,30.0,1
12,8.94736842105,259.473684211,34.0,26.0,1
13,80.5263157895,123.684210526,32.0,36.0,1
