#item,x,y,dx,dy,label
0,31.4285714286,9.28571428571,26.0,26.0,1
1,54.2857142857,0.357142857143,20.0,22.0,1
2,54.6428571429,41.7857142857,18.0,20.0,1
3,51.7857142857,57.1428571429,26.0,28.0,1
4,70.3571428571,60.3571428571,20.0,28.0,1
5,162.142857143,9.28571428571,20.0,24.0,1
6,223.214285714,5.0,26.0,24.0,1
7,255.357142857,2.5,28.0,22.0,1
8,176.428571429,88.5714285714,32.0,28.0,1
9,69.2857142857,190.357142857,24.0,20.0,1
10,167.857142857,182.5,32.0,26.0,1
11,206.428571429,165.714285714,30.0,26.0,1
12,234.285714286,131.071428571,24.0,18.0,1
13,249.642857143,143.214285714,24.0,16.0,1
14,223.928571429,188.214285714,28.0,24.0,1
15,222.5,261.785714286,24.0,24.0,1
16,182.857142857,264.642857143,22.0,22.0,1
17,155.0,265.0,24.0,24.0,1
18,110.357142857,242.5,24.0,22.0,1
19,83.5714285714,239.642857143,28.0,26.0,1
20,73.5714285714,10.7142857143,26.0,24.0,1
