#item,x,y,dx,dy,label
0,38.9285714286,95.7142857143,26.0,20.0,1
1,35.7142857143,72.8571428571,24.0,24.0,1
2,13.9285714286,58.2142857143,22.0,22.0,1
3,22.5,101.071428571,16.0,22.0,1
4,11.0714285714,118.928571429,16.0,22.0,1
5,27.1428571429,113.928571429,22.0,24.0,1
6,45.7142857143,113.928571429,22.0,20.0,1
7,51.4285714286,77.5,24.0,22.0,1
8,83.9285714286,5.35714285714,24.0,22.0,1
9,102.857142857,7.14285714286,26.0,24.0,1
10,14.6428571429,213.571428571,20.0,18.0,1
11,3.21428571429,221.428571429,22.0,20.0,1
12,120.714285714,191.071428571,18.0,24.0,1
13,137.857142857,206.428571429,28.0,22.0,1
14,195.714285714,171.785714286,18.0,20.0,1
15,212.5,166.785714286,20.0,22.0,1
16,191.785714286,130.357142857,22.0,24.0,1
