#item,x,y,dx,dy,label
0,3.84615384615,219.230769231,42.0,28.0,1
1,0.769230769231,234.230769231,16.0,42.0,1
2,0.0,179.615384615,16.0,38.0,1
3,2.30769230769,142.692307692,24.0,26.0,1
4,1.53846153846,88.4615384615,14.0,26.0,1
5,23.0769230769,109.230769231,26.0,30.0,1
6,77.6923076923,91.5384615385,24.0,34.0,1
7,135.0,219.230769231,28.0,30.0,1
8,227.307692308,229.230769231,28.0,30.0,1
9,236.538461538,234.615384615,28.0,30.0,1
10,63.4615384615,17.6923076923,26.0,22.0,1
11,204.230769231,48.4615384615,26.0,38.0,1
12,269.230769231,35.0,26.0,28.0,1
13,146.153846154,183.846153846,40.0,28.0,1
