#item,x,y,dx,dy,label
0,51.7857142857,109.285714286,22.0,14.0,1
1,38.9285714286,124.642857143,24.0,16.0,1
2,96.7857142857,84.2857142857,20.0,16.0,1
3,135.0,61.0714285714,20.0,16.0,1
4,153.214285714,23.9285714286,20.0,16.0,1
5,203.214285714,77.1428571429,20.0,28.0,1
6,242.857142857,45.3571428571,22.0,20.0,1
7,168.571428571,206.071428571,26.0,18.0,1
8,148.571428571,198.928571429,18.0,24.0,1
9,29.6428571429,248.214285714,20.0,26.0,1
10,162.5,193.928571429,26.0,18.0,1
11,40.3571428571,132.857142857,22.0,24.0,1
