#item,x,y,dx,dy,label
0,86.5217391304,254.782608696,24.0,30.0,1
1,67.3913043478,231.304347826,28.0,26.0,1
2,43.0434782609,242.608695652,28.0,26.0,1
3,34.347826087,264.347826087,28.0,30.0,1
4,17.3913043478,128.260869565,28.0,30.0,1
5,124.782608696,183.913043478,28.0,26.0,1
6,130.434782609,210.869565217,28.0,30.0,1
7,149.130434783,189.130434783,28.0,30.0,1
8,137.391304348,148.695652174,28.0,22.0,1
9,207.391304348,273.043478261,30.0,26.0,1
10,150.0,95.2173913043,34.0,30.0,1
11,158.260869565,111.304347826,30.0,26.0,1
12,210.869565217,103.043478261,26.0,22.0,1
13,210.869565217,198.260869565,26.0,26.0,1
14,151.304347826,24.347826087,30.0,30.0,1
15,134.347826087,20.4347826087,30.0,24.0,1
16,242.608695652,230.869565217,30.0,24.0,1
