#item,x,y,dx,dy,label
0,35.3571428571,48.2142857143,30.0,30.0,1
1,66.4285714286,56.0714285714,30.0,26.0,1
2,48.5714285714,79.6428571429,30.0,30.0,1
3,21.4285714286,71.7857142857,24.0,24.0,1
4,19.6428571429,229.285714286,20.0,20.0,1
5,30.7142857143,234.642857143,20.0,20.0,1
6,6.42857142857,270.0,20.0,20.0,1
7,70.0,143.571428571,24.0,24.0,1
8,101.428571429,93.5714285714,24.0,24.0,1
9,195.714285714,160.714285714,24.0,30.0,1
10,203.928571429,188.928571429,22.0,20.0,1
11,186.428571429,200.0,22.0,20.0,1
12,241.428571429,206.785714286,24.0,22.0,1
13,265.357142857,187.857142857,24.0,22.0,1
14,275.357142857,201.071428571,24.0,32.0,1
15,281.785714286,79.2857142857,18.0,18.0,1
