#item,x,y,dx,dy,label
0,71.0714285714,60.7142857143,24.0,28.0,1
1,73.5714285714,33.9285714286,24.0,28.0,1
2,89.6428571429,28.2142857143,32.0,24.0,1
3,117.142857143,5.71428571429,32.0,24.0,1
4,115.357142857,28.5714285714,32.0,32.0,1
5,116.428571429,60.7142857143,24.0,32.0,1
6,73.5714285714,91.7857142857,24.0,32.0,1
7,97.8571428571,91.0714285714,26.0,22.0,1
8,128.928571429,177.142857143,28.0,22.0,1
9,209.285714286,177.857142857,20.0,22.0,1
10,225.714285714,192.142857143,24.0,20.0,1
11,207.142857143,271.785714286,20.0,26.0,1
12,233.214285714,276.785714286,22.0,18.0,1
13,258.928571429,270.0,28.0,24.0,1
14,205.714285714,9.64285714286,24.0,32.0,1
