#item,x,y,dx,dy,label
0,24.2307692308,78.8461538462,28.0,26.0,1
1,52.6923076923,78.0769230769,28.0,26.0,1
2,25.0,56.1538461538,32.0,26.0,1
3,107.307692308,26.5384615385,28.0,22.0,1
4,146.538461538,23.0769230769,22.0,30.0,1
5,154.615384615,12.3076923077,24.0,24.0,1
6,223.076923077,66.5384615385,20.0,28.0,1
7,257.307692308,1.92307692308,26.0,28.0,1
8,225.0,202.692307692,26.0,28.0,1
9,191.538461538,207.307692308,26.0,28.0,1
10,150.384615385,238.076923077,28.0,36.0,1
11,225.0,163.846153846,22.0,26.0,1
