#item,x,y,dx,dy,label
0,89.5238095238,41.4285714286,32.0,20.0,1
1,112.380952381,20.4761904762,26.0,30.0,1
2,127.619047619,14.7619047619,30.0,34.0,1
3,146.666666667,22.380952381,28.0,32.0,1
4,196.19047619,117.619047619,26.0,20.0,1
5,217.142857143,103.333333333,20.0,28.0,1
6,230.952380952,117.142857143,26.0,20.0,1
7,82.380952381,140.952380952,28.0,22.0,1
8,70.0,157.619047619,28.0,22.0,1
9,90.0,161.904761905,30.0,24.0,1
10,126.19047619,220.476190476,36.0,24.0,1
11,151.428571429,225.714285714,28.0,26.0,1
12,137.142857143,233.80952381,28.0,26.0,1
13,162.857142857,230.476190476,28.0,32.0,1
14,177.142857143,244.761904762,24.0,28.0,1
15,185.714285714,272.380952381,24.0,24.0,1
16,204.761904762,271.428571429,30.0,24.0,1
17,199.523809524,198.095238095,30.0,30.0,1
18,24.2857142857,260.476190476,22.0,26.0,1
