#item,x,y,dx,dy,label
0,84.7368421053,263.157894737,24.0,32.0,1
1,91.5789473684,236.842105263,28.0,28.0,1
2,83.1578947368,214.210526316,26.0,26.0,1
3,118.421052632,194.736842105,26.0,26.0,1
4,91.5789473684,179.473684211,26.0,36.0,1
5,82.1052631579,154.736842105,26.0,36.0,1
6,41.5789473684,191.578947368,34.0,24.0,1
7,129.473684211,128.947368421,28.0,24.0,1
8,84.2105263158,106.315789474,24.0,28.0,1
9,87.3684210526,81.5789473684,24.0,24.0,1
10,72.6315789474,52.6315789474,30.0,28.0,1
11,55.2631578947,38.4210526316,30.0,20.0,1
12,182.105263158,142.631578947,20.0,22.0,1
