#item,x,y,dx,dy,label
0,32.1428571429,144.642857143,28.0,32.0,1
1,46.0714285714,126.785714286,26.0,30.0,1
2,39.6428571429,103.571428571,30.0,36.0,1
3,53.5714285714,140.0,40.0,30.0,1
4,102.142857143,216.071428571,32.0,30.0,1
5,114.642857143,189.285714286,32.0,38.0,1
6,102.5,245.714285714,40.0,32.0,1
7,107.142857143,263.928571429,34.0,26.0,1
8,21.4285714286,246.071428571,28.0,34.0,1
9,6.42857142857,262.5,32.0,28.0,1
10,6.07142857143,215.0,32.0,34.0,1
11,27.1428571429,224.642857143,26.0,34.0,1
12,233.214285714,48.9285714286,26.0,34.0,1
13,182.857142857,36.4285714286,28.0,18.0,1
14,225.0,23.2142857143,28.0,18.0,1
15,261.071428571,195.714285714,26.0,20.0,1
16,166.428571429,162.857142857,12.0,18.0,1
17,177.5,156.428571429,14.0,14.0,1
18,161.785714286,148.928571429,14.0,14.0,1
