#item,x,y,dx,dy,label
0,110.526315789,44.2105263158,14.0,14.0,1
1,71.0526315789,77.8947368421,14.0,14.0,1
2,37.3684210526,60.0,14.0,14.0,1
3,32.1052631579,47.3684210526,14.0,14.0,1
4,34.7368421053,74.2105263158,14.0,14.0,1
5,134.210526316,48.9473684211,14.0,14.0,1
6,156.315789474,3.68421052632,14.0,14.0,1
7,224.210526316,96.3157894737,20.0,20.0,1
8,244.210526316,99.4736842105,20.0,20.0,1
9,263.684210526,105.789473684,20.0,20.0,1
10,81.0526315789,208.421052632,20.0,20.0,1
11,85.2631578947,223.157894737,20.0,20.0,1
