#item,x,y,dx,dy,label
0,11.9230769231,46.9230769231,22.0,26.0,1
1,22.6923076923,30.3846153846,20.0,24.0,1
2,12.3076923077,83.4615384615,22.0,26.0,1
3,45.0,93.4615384615,24.0,28.0,1
4,22.3076923077,117.307692308,24.0,26.0,1
5,34.2307692308,76.9230769231,20.0,26.0,1
6,51.5384615385,54.2307692308,26.0,22.0,1
7,97.6923076923,33.4615384615,24.0,28.0,1
8,115.769230769,35.7692307692,24.0,28.0,1
9,103.461538462,81.5384615385,24.0,24.0,1
10,110.384615385,103.076923077,24.0,34.0,1
11,70.3846153846,118.461538462,20.0,24.0,1
12,138.846153846,95.0,20.0,24.0,1
13,166.153846154,103.846153846,20.0,24.0,1
14,176.538461538,125.384615385,20.0,22.0,1
15,137.307692308,121.538461538,20.0,22.0,1
16,67.3076923077,185.384615385,22.0,20.0,1
17,75.7692307692,183.076923077,22.0,18.0,1
18,56.1538461538,198.076923077,16.0,18.0,1
19,2.30769230769,240.769230769,20.0,26.0,1
