#item,x,y,dx,dy,label
0,42.8571428571,170.476190476,22.0,24.0,1
1,28.5714285714,145.238095238,24.0,20.0,1
2,121.428571429,169.523809524,20.0,28.0,1
3,193.80952381,192.857142857,16.0,28.0,1
4,208.095238095,156.666666667,16.0,24.0,1
5,222.380952381,169.047619048,20.0,28.0,1
6,214.761904762,222.857142857,24.0,20.0,1
7,237.619047619,46.6666666667,20.0,24.0,1
8,241.428571429,63.8095238095,20.0,14.0,1
9,261.904761905,170.0,18.0,22.0,1
10,226.19047619,258.571428571,20.0,16.0,1
11,217.619047619,268.095238095,18.0,14.0,1
12,230.476190476,276.19047619,20.0,20.0,1
13,257.619047619,254.761904762,20.0,20.0,1
14,2.38095238095,207.619047619,18.0,22.0,1
