#item,x,y,dx,dy,label
0,58.2142857143,77.5,26.0,28.0,1
1,16.7857142857,33.9285714286,22.0,28.0,1
2,156.071428571,109.285714286,26.0,26.0,1
3,142.857142857,38.5714285714,26.0,26.0,1
4,168.214285714,33.9285714286,28.0,28.0,1
5,190.0,87.1428571429,32.0,26.0,1
6,210.0,62.5,22.0,26.0,1
7,221.071428571,70.7142857143,26.0,26.0,1
8,190.0,116.428571429,32.0,32.0,1
9,251.428571429,9.64285714286,26.0,26.0,1
10,264.642857143,16.4285714286,32.0,32.0,1
11,240.714285714,37.8571428571,34.0,34.0,1
12,211.428571429,98.9285714286,38.0,38.0,1
13,43.5714285714,208.928571429,36.0,36.0,1
14,68.5714285714,256.428571429,28.0,28.0,1
15,86.4285714286,261.785714286,28.0,28.0,1
16,130.0,117.857142857,26.0,28.0,1
