#item,x,y,dx,dy,label
0,9.23076923077,156.923076923,38.0,26.0,1
1,46.5384615385,138.846153846,34.0,22.0,1
2,20.7692307692,183.846153846,30.0,36.0,1
3,4.61538461538,226.153846154,26.0,32.0,1
4,67.6923076923,174.615384615,48.0,38.0,1
5,98.8461538462,227.307692308,30.0,22.0,1
6,80.7692307692,140.769230769,38.0,24.0,1
7,109.230769231,125.0,30.0,32.0,1
8,125.0,111.153846154,30.0,32.0,1
9,252.692307692,238.461538462,42.0,34.0,1
10,50.3846153846,30.7692307692,20.0,20.0,1
11,150.384615385,38.0769230769,28.0,30.0,1
