#item,x,y,dx,dy,label
0,11.5384615385,222.692307692,28.0,26.0,1
1,51.9230769231,213.461538462,36.0,26.0,1
2,39.2307692308,247.307692308,20.0,26.0,1
3,56.9230769231,248.846153846,26.0,26.0,1
4,77.6923076923,261.538461538,20.0,24.0,1
5,81.5384615385,236.538461538,24.0,24.0,1
6,173.846153846,228.846153846,32.0,24.0,1
7,2.30769230769,269.230769231,22.0,24.0,1
8,0.0,246.153846154,20.0,24.0,1
9,164.615384615,181.923076923,22.0,24.0,1
10,214.615384615,163.461538462,20.0,22.0,1
11,227.692307692,170.769230769,24.0,22.0,1
12,232.692307692,191.923076923,24.0,24.0,1
13,221.538461538,200.0,24.0,24.0,1
14,208.076923077,185.384615385,22.0,16.0,1
15,256.153846154,241.923076923,18.0,16.0,1
16,259.230769231,257.307692308,18.0,20.0,1
