#item,x,y,dx,dy,label
0,38.0952380952,230.476190476,30.0,24.0,1
1,44.2857142857,211.428571429,24.0,24.0,1
2,74.7619047619,236.19047619,28.0,18.0,1
3,63.8095238095,241.904761905,22.0,26.0,1
4,90.9523809524,249.523809524,30.0,32.0,1
5,6.19047619048,186.19047619,28.0,20.0,1
6,1.42857142857,96.1904761905,28.0,32.0,1
7,28.5714285714,51.4285714286,28.0,32.0,1
8,53.3333333333,49.0476190476,28.0,26.0,1
9,107.619047619,35.7142857143,28.0,26.0,1
10,138.095238095,18.0952380952,28.0,26.0,1
11,175.238095238,46.6666666667,22.0,26.0,1
12,103.80952381,105.238095238,24.0,22.0,1
13,128.571428571,113.80952381,22.0,18.0,1
14,84.7619047619,121.428571429,28.0,20.0,1
15,171.904761905,88.5714285714,26.0,26.0,1
16,170.0,105.714285714,26.0,34.0,1
17,188.571428571,142.380952381,22.0,22.0,1
18,249.523809524,154.761904762,20.0,20.0,1
19,230.952380952,8.09523809524,20.0,24.0,1
20,240.476190476,20.0,20.0,24.0,1
21,259.523809524,16.1904761905,20.0,24.0,1
22,79.5238095238,154.761904762,20.0,24.0,1
23,128.095238095,77.619047619,22.0,24.0,1
