#item,x,y,dx,dy,label
0,67.8947368421,243.684210526,28.0,26.0,1
1,28.9473684211,264.736842105,30.0,22.0,1
2,43.6842105263,248.421052632,24.0,26.0,1
3,156.842105263,231.052631579,26.0,28.0,1
4,154.210526316,255.263157895,28.0,30.0,1
5,188.947368421,152.105263158,32.0,32.0,1
6,157.368421053,144.210526316,30.0,30.0,1
7,105.789473684,165.789473684,30.0,30.0,1
8,147.368421053,110.526315789,30.0,30.0,1
9,148.947368421,21.5789473684,36.0,36.0,1
10,68.4210526316,57.8947368421,26.0,26.0,1
11,83.6842105263,23.6842105263,26.0,26.0,1
12,116.842105263,54.2105263158,22.0,22.0,1
13,204.210526316,61.0526315789,24.0,24.0,1
14,108.421052632,14.2105263158,28.0,28.0,1
