#item,x,y,dx,dy,label
0,46.6666666667,170.476190476,24.0,22.0,1
1,52.8571428571,149.047619048,26.0,24.0,1
2,70.4761904762,162.857142857,30.0,24.0,1
3,57.1428571429,184.285714286,32.0,28.0,1
4,91.4285714286,271.428571429,32.0,22.0,1
5,80.4761904762,276.666666667,28.0,22.0,1
6,160.0,236.666666667,30.0,24.0,1
7,164.761904762,260.0,30.0,24.0,1
8,214.285714286,128.095238095,24.0,26.0,1
9,220.476190476,138.571428571,24.0,26.0,1
10,267.619047619,157.142857143,28.0,26.0,1
11,106.666666667,17.619047619,28.0,16.0,1
