#item,x,y,dx,dy,label
0,179.230769231,16.9230769231,24.0,26.0,1
1,182.692307692,5.38461538462,24.0,26.0,1
2,13.4615384615,179.615384615,22.0,32.0,1
3,1.15384615385,228.461538462,18.0,32.0,1
4,75.7692307692,235.769230769,28.0,28.0,1
5,33.8461538462,270.384615385,24.0,22.0,1
6,50.3846153846,194.615384615,28.0,20.0,1
7,229.230769231,231.153846154,28.0,24.0,1
8,209.230769231,120.769230769,30.0,30.0,1
9,231.923076923,116.538461538,30.0,30.0,1
10,220.769230769,37.3076923077,30.0,30.0,1
11,201.923076923,9.61538461538,26.0,26.0,1
12,227.692307692,0.0,28.0,18.0,1
13,129.230769231,1.15384615385,28.0,18.0,1
