#item,x,y,dx,dy,label
0,5.78947368421,29.4736842105,24.0,36.0,1
1,36.8421052632,94.7368421053,30.0,34.0,1
2,37.3684210526,116.315789474,36.0,42.0,1
3,73.6842105263,105.263157895,32.0,30.0,1
4,57.3684210526,72.6315789474,32.0,46.0,1
5,137.368421053,160.0,28.0,36.0,1
6,164.736842105,171.578947368,36.0,42.0,1
7,117.368421053,265.789473684,42.0,34.0,1
8,182.105263158,253.684210526,34.0,34.0,1
9,223.684210526,49.4736842105,28.0,28.0,1
10,203.157894737,61.0526315789,28.0,28.0,1
11,187.368421053,44.2105263158,32.0,26.0,1
12,54.2105263158,146.842105263,32.0,26.0,1
13,172.105263158,135.789473684,30.0,24.0,1
14,207.368421053,211.578947368,30.0,24.0,1
