#item,x,y,dx,dy,label
0,3.80952380952,75.2380952381,18.0,20.0,1
1,10.9523809524,94.2857142857,24.0,20.0,1
2,8.09523809524,124.285714286,24.0,20.0,1
3,20.0,124.285714286,22.0,26.0,1
4,39.5238095238,140.476190476,22.0,26.0,1
5,23.8095238095,175.714285714,24.0,28.0,1
6,76.1904761905,154.285714286,28.0,28.0,1
7,54.7619047619,199.523809524,26.0,30.0,1
8,74.2857142857,197.142857143,30.0,34.0,1
9,65.2380952381,209.047619048,24.0,30.0,1
10,0.47619047619,222.857142857,18.0,24.0,1
11,94.2857142857,254.761904762,28.0,26.0,1
12,120.0,260.0,22.0,26.0,1
13,236.666666667,278.571428571,22.0,26.0,1
14,126.19047619,212.857142857,24.0,20.0,1
