#item,x,y,dx,dy,label
0,10.7692307692,157.692307692,36.0,46.0,1
1,45.3846153846,166.538461538,42.0,40.0,1
2,31.9230769231,129.230769231,26.0,28.0,1
3,32.6923076923,108.846153846,40.0,26.0,1
4,24.6153846154,66.1538461538,28.0,36.0,1
5,13.0769230769,41.9230769231,28.0,30.0,1
6,37.3076923077,20.0,32.0,36.0,1
7,210.769230769,20.0,32.0,36.0,1
8,228.461538462,47.3076923077,34.0,38.0,1
9,189.615384615,77.3076923077,44.0,36.0,1
10,181.538461538,101.923076923,44.0,44.0,1
11,266.153846154,124.230769231,32.0,40.0,1
12,144.230769231,179.230769231,36.0,44.0,1
13,130.0,218.461538462,36.0,44.0,1
14,121.153846154,232.692307692,36.0,44.0,1
15,63.8461538462,258.461538462,36.0,38.0,1
16,166.923076923,253.461538462,36.0,38.0,1
