#item,x,y,dx,dy,label
0,88.0769230769,12.3076923077,22.0,22.0,1
1,163.076923077,1.15384615385,26.0,18.0,1
2,266.538461538,18.8461538462,22.0,18.0,1
3,182.692307692,14.2307692308,22.0,28.0,1
4,199.230769231,5.0,22.0,18.0,1
5,56.1538461538,241.923076923,30.0,24.0,1
6,113.846153846,261.538461538,28.0,24.0,1
7,173.846153846,252.692307692,28.0,24.0,1
8,185.384615385,275.769230769,26.0,20.0,1
9,205.0,257.307692308,28.0,24.0,1
10,249.230769231,196.923076923,26.0,22.0,1
11,55.7692307692,161.923076923,24.0,20.0,1
