#item,x,y,dx,dy,label
0,27.619047619,80.9523809524,18.0,22.0,1
1,20.9523809524,47.619047619,18.0,16.0,1
2,49.0476190476,25.7142857143,18.0,16.0,1
3,42.8571428571,0.952380952381,18.0,12.0,1
4,47.619047619,88.5714285714,20.0,22.0,1
5,68.5714285714,80.0,18.0,20.0,1
6,125.238095238,69.5238095238,26.0,18.0,1
7,101.428571429,70.0,26.0,18.0,1
8,152.857142857,45.2380952381,26.0,16.0,1
9,170.476190476,36.1904761905,18.0,16.0,1
10,189.047619048,8.57142857143,22.0,22.0,1
11,214.761904762,7.14285714286,20.0,20.0,1
12,218.571428571,26.6666666667,20.0,20.0,1
13,279.047619048,85.2380952381,24.0,24.0,1
14,229.047619048,119.523809524,20.0,20.0,1
15,265.714285714,153.80952381,18.0,18.0,1
16,259.047619048,167.142857143,16.0,16.0,1
17,260.0,203.333333333,22.0,22.0,1
18,287.619047619,60.0,24.0,24.0,1
