#item,x,y,dx,dy,label
0,46.5384615385,149.230769231,32.0,24.0,1
1,16.5384615385,261.538461538,32.0,32.0,1
2,114.230769231,191.923076923,34.0,26.0,1
3,163.076923077,220.384615385,26.0,28.0,1
4,193.076923077,204.615384615,26.0,28.0,1
5,190.769230769,223.461538462,26.0,28.0,1
6,246.153846154,268.461538462,24.0,22.0,1
7,206.538461538,171.538461538,28.0,24.0,1
8,71.5384615385,121.538461538,18.0,24.0,1
9,81.9230769231,5.38461538462,22.0,24.0,1
10,253.461538462,120.769230769,26.0,24.0,1
11,278.461538462,123.461538462,20.0,24.0,1
