#item,x,y,dx,dy,label
0,145.263157895,202.105263158,24.0,26.0,1
1,130.526315789,216.315789474,20.0,26.0,1
2,182.631578947,192.631578947,20.0,26.0,1
3,185.789473684,173.684210526,20.0,26.0,1
4,224.210526316,126.842105263,26.0,32.0,1
5,250.526315789,116.315789474,26.0,28.0,1
6,63.1578947368,19.4736842105,28.0,30.0,1
7,42.1052631579,62.6315789474,18.0,26.0,1
8,95.7894736842,174.736842105,20.0,24.0,1
9,171.578947368,165.789473684,20.0,24.0,1
10,149.473684211,151.578947368,28.0,26.0,1
11,31.5,226.0,20.0,20.0,1
12,14.5,244.5,20.0,20.0,1
13,51.5,202.5,20.0,20.0,1
