#item,x,y,dx,dy,label
0,112.105263158,138.421052632,40.0,28.0,1
1,79.4736842105,113.157894737,40.0,24.0,1
2,78.4210526316,82.1052631579,32.0,32.0,1
3,40.0,40.5263157895,28.0,32.0,1
4,11.5789473684,34.2105263158,32.0,30.0,1
5,2.10526315789,19.4736842105,30.0,28.0,1
6,181.052631579,93.6842105263,34.0,36.0,1
7,135.263157895,218.947368421,34.0,48.0,1
8,110.526315789,0.0,34.0,22.0,1
9,271.578947368,157.368421053,28.0,22.0,1
10,2.84217094304e-14,134.736842105,22.0,34.0,1
11,186.842105263,198.421052632,24.0,24.0,1
12,50.0,268.947368421,30.0,30.0,1
