#item,x,y,dx,dy,label
0,7.69230769231,11.5384615385,20.0,22.0,1
1,153.076923077,1.92307692308,20.0,24.0,1
2,152.692307692,36.9230769231,20.0,24.0,1
3,103.076923077,87.3076923077,26.0,22.0,1
4,136.923076923,85.7692307692,18.0,22.0,1
5,168.076923077,70.0,24.0,26.0,1
6,122.307692308,118.076923077,24.0,22.0,1
7,166.153846154,143.076923077,18.0,18.0,1
8,85.0,224.615384615,22.0,24.0,1
9,111.153846154,240.384615385,24.0,22.0,1
10,105.0,265.769230769,28.0,26.0,1
11,137.307692308,257.692307692,26.0,18.0,1
12,208.076923077,168.076923077,26.0,30.0,1
13,262.307692308,133.461538462,24.0,30.0,1
14,266.923076923,118.846153846,26.0,22.0,1
15,134.615384615,168.846153846,26.0,34.0,1
