#item,x,y,dx,dy,label
0,83.9285714286,185.714285714,34.0,26.0,1
1,113.214285714,184.285714286,30.0,26.0,1
2,225.0,251.785714286,28.0,30.0,1
3,202.5,183.571428571,32.0,28.0,1
4,223.214285714,174.642857143,28.0,24.0,1
5,217.142857143,133.571428571,36.0,26.0,1
6,243.571428571,141.071428571,34.0,26.0,1
7,266.071428571,157.857142857,32.0,28.0,1
8,270.714285714,182.142857143,28.0,36.0,1
9,261.428571429,84.6428571429,36.0,30.0,1
10,220.714285714,92.8571428571,34.0,28.0,1
11,120.0,56.0714285714,34.0,28.0,1
12,104.642857143,17.8571428571,42.0,36.0,1
13,81.4285714286,132.5,28.0,22.0,1
14,203.571428571,264.285714286,28.0,30.0,1
