#item,x,y,dx,dy,label
0,63.1578947368,124.736842105,14.0,16.0,1
1,73.1578947368,124.736842105,14.0,14.0,1
2,64.2105263158,116.315789474,14.0,14.0,1
3,61.5789473684,105.789473684,14.0,14.0,1
4,31.0526315789,106.315789474,14.0,14.0,1
5,30.0,117.368421053,14.0,14.0,1
6,2.84217094304e-14,141.578947368,14.0,14.0,1
7,105.789473684,134.736842105,14.0,14.0,1
8,122.631578947,143.684210526,14.0,14.0,1
9,131.052631579,143.157894737,14.0,14.0,1
10,123.157894737,134.210526316,14.0,14.0,1
11,71.0526315789,50.5263157895,14.0,14.0,1
12,78.9473684211,43.6842105263,14.0,14.0,1
13,67.3684210526,46.3157894737,14.0,14.0,1
14,61.0526315789,40.0,14.0,14.0,1
15,67.3684210526,34.7368421053,14.0,14.0,1
16,82.6315789474,33.6842105263,14.0,14.0,1
17,57.3684210526,11.0526315789,14.0,14.0,1
18,245.263157895,257.894736842,14.0,14.0,1
19,225.263157895,255.263157895,14.0,14.0,1
20,262.105263158,263.684210526,14.0,14.0,1
21,255.789473684,273.157894737,14.0,14.0,1
22,101.052631579,254.736842105,26.0,20.0,1
23,27.3684210526,281.052631579,32.0,20.0,1
