#item,x,y,dx,dy,label
0,81.1538461538,81.9230769231,26.0,18.0,1
1,73.8461538462,89.2307692308,26.0,18.0,1
2,40.3846153846,108.076923077,26.0,18.0,1
3,78.8461538462,58.8461538462,26.0,18.0,1
4,131.153846154,88.8461538462,32.0,26.0,1
5,96.9230769231,109.615384615,16.0,26.0,1
6,172.692307692,128.076923077,22.0,20.0,1
7,185.0,143.846153846,22.0,24.0,1
8,226.153846154,88.4615384615,20.0,24.0,1
9,209.615384615,105.384615385,22.0,16.0,1
10,230.769230769,115.384615385,18.0,18.0,1
11,231.538461538,261.538461538,28.0,28.0,1
12,201.538461538,282.692307692,28.0,16.0,1
13,170.0,1.15384615385,20.0,22.0,1
