#item,x,y,dx,dy,label
0,17.619047619,66.1904761905,14.0,14.0,1
1,30.9523809524,74.2857142857,18.0,18.0,1
2,19.0476190476,75.7142857143,18.0,18.0,1
3,28.5714285714,81.4285714286,16.0,16.0,1
4,0.0,48.0952380952,16.0,16.0,1
5,10.4761904762,31.4285714286,16.0,16.0,1
6,30.9523809524,23.8095238095,22.0,22.0,1
7,63.3333333333,29.0476190476,20.0,20.0,1
8,62.380952381,44.2857142857,22.0,22.0,1
9,130.0,55.7142857143,16.0,16.0,1
10,147.619047619,50.0,18.0,18.0,1
11,157.142857143,25.2380952381,18.0,18.0,1
12,148.095238095,4.7619047619,18.0,18.0,1
13,174.761904762,1.90476190476,18.0,18.0,1
14,186.666666667,-0.47619047619,18.0,18.0,1
15,70.9523809524,246.666666667,16.0,16.0,1
16,60.9523809524,255.714285714,14.0,16.0,1
17,139.523809524,257.619047619,18.0,16.0,1
18,222.380952381,216.19047619,20.0,20.0,1
19,216.19047619,170.476190476,24.0,22.0,1
20,203.80952381,160.0,28.0,24.0,1
21,246.666666667,159.523809524,24.0,20.0,1
22,228.095238095,145.714285714,26.0,22.0,1
23,224.285714286,136.19047619,20.0,24.0,1
24,246.666666667,56.1904761905,20.0,20.0,1
25,258.095238095,57.619047619,20.0,20.0,1
26,244.761904762,21.4285714286,30.0,20.0,1
27,274.761904762,47.619047619,24.0,14.0,1
28,71.4285714286,275.714285714,24.0,14.0,1
29,77.619047619,281.428571429,20.0,20.0,1
30,0.952380952381,267.619047619,14.0,16.0,1
31,241.428571429,262.857142857,24.0,14.0,1
