#item,x,y,dx,dy,label
0,6.92307692308,130.384615385,34.0,40.0,1
1,3.46153846154,106.538461538,26.0,30.0,1
2,41.5384615385,123.076923077,38.0,30.0,1
3,68.0769230769,102.692307692,42.0,40.0,1
4,129.230769231,97.3076923077,32.0,32.0,1
5,150.384615385,98.8461538462,32.0,32.0,1
6,15.7692307692,26.9230769231,30.0,32.0,1
7,56.1538461538,25.0,24.0,32.0,1
8,135.769230769,4.23076923077,28.0,34.0,1
9,233.461538462,65.0,36.0,34.0,1
10,225.0,128.461538462,30.0,34.0,1
11,30.0,201.153846154,30.0,34.0,1
12,38.8461538462,221.538461538,30.0,34.0,1
13,118.846153846,246.153846154,34.0,38.0,1
14,151.538461538,187.692307692,40.0,34.0,1
15,181.923076923,210.384615385,40.0,34.0,1
16,173.846153846,235.0,32.0,36.0,1
