#item,x,y,dx,dy,label
0,221.578947368,230.526315789,20.0,18.0,1
1,226.842105263,258.421052632,20.0,20.0,1
2,189.473684211,273.684210526,26.0,20.0,1
3,207.368421053,266.842105263,20.0,20.0,1
4,259.473684211,247.368421053,24.0,22.0,1
5,274.736842105,223.157894737,18.0,22.0,1
6,251.052631579,125.789473684,24.0,20.0,1
7,251.052631579,109.473684211,26.0,24.0,1
8,266.315789474,107.368421053,22.0,24.0,1
9,274.736842105,119.473684211,24.0,18.0,1
10,267.368421053,134.736842105,24.0,20.0,1
11,2.63157894737,175.263157895,20.0,22.0,1
12,208.947368421,239.473684211,22.0,24.0,1
