#item,x,y,dx,dy,label
0,100.714285714,191.785714286,30.0,32.0,1
1,82.5,208.214285714,32.0,26.0,1
2,118.571428571,218.928571429,28.0,32.0,1
3,148.928571429,257.5,34.0,32.0,1
4,181.071428571,256.071428571,36.0,34.0,1
5,194.285714286,251.785714286,36.0,34.0,1
6,220.0,208.571428571,34.0,40.0,1
7,233.214285714,225.714285714,44.0,36.0,1
8,27.8571428571,119.642857143,38.0,22.0,1
9,46.7857142857,132.142857143,30.0,34.0,1
10,240.714285714,4.64285714286,42.0,28.0,1
11,102.857142857,265.357142857,38.0,30.0,1
