#item,x,y,dx,dy,label
0,2.84217094304e-14,64.7368421053,24.0,24.0,1
1,68.4210526316,31.0526315789,24.0,24.0,1
2,47.3684210526,15.7894736842,24.0,24.0,1
3,41.5789473684,5.78947368421,24.0,24.0,1
4,73.6842105263,215.789473684,24.0,24.0,1
5,175.789473684,250.0,28.0,28.0,1
6,196.315789474,245.789473684,28.0,28.0,1
7,222.631578947,243.157894737,24.0,24.0,1
8,219.473684211,209.473684211,22.0,22.0,1
9,206.842105263,204.210526316,22.0,22.0,1
10,174.210526316,54.2105263158,22.0,22.0,1
11,203.157894737,54.7368421053,28.0,28.0,1
12,41.5789473684,105.263157895,24.0,24.0,1
13,181.578947368,2.63157894737,24.0,24.0,1
14,207.894736842,142.105263158,20.0,20.0,1
15,116.315789474,278.421052632,20.0,20.0,1
16,68.9473684211,266.842105263,26.0,20.0,1
17,35.7894736842,278.947368421,26.0,20.0,1
18,115.789473684,33.1578947368,26.0,24.0,1
